tweet_id,retweet_count,favorite_count
892420643555336193,7194,34556
892177421306343426,5401,29962
891815181378084864,3568,22542
891689557279858688,7421,37803
891327558926688256,7953,36099
891087950875897856,2675,18206
890971913173991426,1716,10606
890729181411237888,16189,58165
890609185150312448,3715,25072
890240255349198849,6255,28596
890006608113172480,6303,27615
889880896479866881,4279,25106
889665388333682689,8571,43008
889638837579907072,3826,24197
889531135344209921,1927,13632
889278841981685760,4563,22607
888917238123831296,3840,26188
888804989199671297,3632,22955
888554962724278272,2956,17707
888078434458587136,2973,19565
887705289381826560,4644,27217
887517139158093824,10085,41648
887473957103951883,15406,61566
887343217045368832,9030,30232
887101392804085760,5108,27560
886983233522544640,6520,31092
886736880519319552,2715,10725
886680336477933568,3829,20190
886366144734445568,2701,18964
886267009285017600,3,104
886258384151887873,5415,25113
886054160059072513,95,0
885984800019947520,5756,29257
885528943205470208,5482,32291
885518971528720385,3191,18397
885311592912609280,15838,0
885167619883638784,3755,19649
884925521741709313,15436,68905
884876753390489601,4784,24955
884562892145688576,4014,21811
884441805382717440,4899,24399
884247878851493888,17367,64843
884162670584377345,2551,18343
883838122936631299,2934,19621
883482846933004288,8486,41130
883360690899218434,3157,20387
883117836046086144,5673,33280
882992080364220416,3315,21442
882762694511734784,4202,25341
882627270321602560,5199,25159
882268110199369728,9925,40127
882045870035918850,4178,26349
881906580714921986,2919,21917
881666595344535552,9188,45551
881633300179243008,8,113
881536004380872706,13746,44429
881268444196462592,4581,20955
880935762899988482,2396,15382
880872448815771648,3279,19148
880465832366813184,5336,25548
880221127280381952,3568,24226
880095782870896641,3740,24847
879862464715927552,2994,20147
879674319642796034,9,284
879492040517615616,2710,21161
879415818425184262,38412,94943
879376492567855104,2699,15167
879130579576475649,5876,0
879050749262655488,4044,20257
879008229531029506,2306,17136
878776093423087618,3523,17490
878604707211726852,6068,27003
878404777348136964,1097,0
878316110768087041,5683,0
878281511006478336,1097,6945
878057613040115712,5876,37925
877736472329191424,16246,70981
877611172832227328,70,0
877556246731214848,3257,20405
877316821321428993,4467,24710
877201837425926144,4763,24376
876838120628539392,2868,18629
876537666061221889,4073,21477
876484053909872640,2047,16927
876120275196170240,4012,25214
875747767867523072,3677,22665
875144289856114688,4235,19799
875097192612077568,5256,24781
875021211251597312,4080,23040
874680097055178752,4017,25138
874434818259525634,12545,0
874296783580663808,3573,23504
874057562936811520,3465,20570
874012996292530176,8795,30793
873580283840344065,3414,21909
873337748698140672,1359,0
873213775632977920,1359,6461
872967104147763200,4670,24588
872820683541237760,3238,13347
872620804844003328,3144,18772
872486979161796608,7908,36906
872122724285648897,7024,30938
871879754684805121,9471,33856
871762521631449091,3041,18300
871515927908634625,3019,18274
871166179821445120,5003,0
871102520638267392,4809,18958
871032628920680449,3308,20597
870804317367881728,5399,30473
870726314365509632,3,109
870656317836468226,2264,11121
870374049280663552,23336,75599
870308999962521604,3631,19907
870063196459192321,7250,33114
869772420881756160,8899,38760
869702957897576449,5510,25584
869596645499047938,2705,14516
869227993411051520,3287,18537
868880397819494401,12588,59280
868639477480148993,1796,0
868622495443632128,4604,24170
868552278524837888,1796,9181
867900495410671616,3663,22051
867774946302451713,6413,30902
867421006826221569,2176,14644
867072653475098625,106,0
867051520902168576,6943,29334
866720684873056260,4223,18223
866686824827068416,3034,17518
866450705531457537,31055,111307
866334964761202691,12545,47655
866094527597207552,7358,0
865718153858494464,4976,23469
865359393868664832,4404,24139
865006731092295680,6819,25608
864873206498414592,7673,29417
864279568663928832,2642,13340
864197398364647424,7777,27275
863907417377173506,3679,18870
863553081350529029,3723,13955
863471782782697472,2136,0
863432100342583297,4666,21804
863427515083354112,82,2001
863079547188785154,985,8057
863062471531167744,2136,7696
862831371563274240,4571,17576
862722525377298433,3167,15674
862457590147678208,4355,18671
862096992088072192,20518,67838
861383897657036800,9528,33048
861288531465048066,3681,15728
861005113778896900,3410,15343
860981674716409858,1899,0
860924035999428608,694,0
860563773140209665,1899,6879
860524505164394496,4727,21745
860276583193509888,3145,16968
860184849394610176,5233,15319
860177593139703809,27521,0
859924526012018688,3674,18031
859851578198683649,3157,14268
859607811541651456,1387,17212
859196978902773760,26984,82501
859074603037188101,12258,31124
858860390427611136,7281,0
858843525470990336,3105,14432
858471635011153920,4380,19937
858107933456039936,2598,14575
857989990357356544,2315,14839
857746408056729600,9583,31556
857393404942143489,1474,5432
857263160327368704,4076,18630
857214891891077121,16,207
857062103051644929,151,0
857029823797047296,3584,17442
856543823941562368,2613,15194
856526610513747968,1703,11071
856288084350160898,15,496
856282028240666624,5714,25803
855862651834028034,22,311
855860136149123072,877,4536
